Temperatura,Personas,Electrodomesticos,Consumo_kWh
17.03184340035774,5.0,17.0,56.72182809132089
16.68299597259739,1.0,6.0,28.524527558788076
18.809620421175218,2.0,18.0,55.076457755413806
27.307943444954837,1.0,9.0,45.14257564342059
21.212979243067068,2.0,12.0,42.26379700524593
27.468642393420666,4.0,10.0,49.449696254560585
11.625729907272282,4.0,8.0,32.956148123020675
25.50316504404907,4.0,14.0,57.22421215848039
30.373193160847695,3.0,17.0,67.99679752403328
20.013329446210584,5.0,8.0,43.25221184958134
33.618984730432686,,5.0,42.62951781797511
17.001496850622654,5.0,14.0,49.606974625446725
19.20426618703844,2.0,14.0,46.62442461539113
11.98282289171364,2.0,14.0,41.91784561538809
20.169704414357607,3.0,5.0,36.20511213237572
,5.0,18.0,60.02054434287322
32.20459726500124,1.0,12.0,44.18600529478318
24.97644476472686,1.0,19.0,50.394246099070415
29.793964617833748,1.0,,55.55477828040643
31.228817940348925,5.0,,66.22106760608646
16.45447454640873,2.0,19.0,55.59997810575742
14.323741951826523,2.0,19.0,53.04121868494768
30.289549291597098,4.0,11.0,57.09107246942977
17.453198963962382,2.0,19.0,51.4993216222157
23.90272770065581,,13.0,61.87925781151603
19.668744055099882,5.0,16.0,64.34469836568844
,3.0,16.0,48.619295562838914
19.86114542743794,1.0,16.0,47.15926247868722
24.17077861508023,5.0,9.0,54.91596098817312
19.221965871632584,2.0,5.0,34.96147721368728
26.309830732939606,1.0,10.0,45.483807125444386
18.246204607246376,4.0,7.0,42.23851132240724
26.681895165565777,1.0,,53.41070330402834
15.43928052932106,2.0,,44.96355712103848
19.635678745755826,2.0,16.0,50.811195936367945
17.11387763342816,3.0,13.0,47.95538971599077
23.337035913612336,2.0,13.0,47.659430066579915
19.15774772183593,5.0,9.0,50.24515846486303
25.065025466570248,3.0,13.0,55.188590027016545
23.347725758443183,1.0,15.0,42.61498471681347
17.365542990245245,3.0,20.0,57.33962388338976
19.172841094892945,1.0,12.0,36.71044851868631
21.500028889886355,3.0,5.0,38.393640533753086
20.20804349776814,4.0,6.0,41.96905753547496
22.422784698933526,4.0,10.0,49.93369155949912
24.46935390787267,3.0,14.0,55.585285811078165
22.226287480293536,3.0,15.0,60.33265701297212
26.9804228743656,5.0,17.0,65.47192906667547
18.26545504278374,4.0,7.0,44.46541842080106
29.267680774660246,2.0,12.0,47.89689139395374
17.223726334638208,1.0,15.0,46.04946228146679
29.587300939502178,1.0,7.0,40.41383191484209
25.869199311517235,2.0,13.0,51.28675390030452
29.70253057787999,5.0,12.0,67.44695585841019
29.058944757385174,1.0,8.0,43.99879017091941
30.277033316134883,3.0,14.0,65.6362467680631
15.267284586416274,1.0,8.0,29.105083096118676
15.899413809375355,1.0,7.0,30.76153971757094
18.101142725954965,2.0,14.0,44.39310584879006
28.358920381838637,2.0,6.0,38.58701246516493
35.46331489272695,1.0,11.0,55.917007231310784
19.21017050978009,3.0,13.0,40.00703557559986
17.166857819680544,,17.0,43.931056233898325
17.135634075414238,4.0,8.0,39.37400109624824
21.822942851251565,4.0,19.0,65.70262418404509
23.607687537343363,2.0,13.0,50.83891290298123
21.063142231981008,2.0,5.0,
19.07733679464195,5.0,9.0,49.65891069608839
24.816774187575724,5.0,14.0,57.460190861286954
24.74871393208481,1.0,17.0,55.42829671028032
17.49267979022836,4.0,10.0,43.4440143484287
17.96731116445214,3.0,6.0,28.82105226730386
25.832280379573213,1.0,18.0,58.05208951549647
29.663632103355233,,5.0,42.56970718594161
21.16313416730774,4.0,20.0,67.66053522106793
25.375155902413663,2.0,14.0,51.08931465297094
25.08680078875519,1.0,16.0,48.80649383405693
18.216573406273568,2.0,12.0,36.177342570790174
17.01061931451965,4.0,13.0,49.02731496082597
21.36953304728097,4.0,16.0,54.83672823467991
19.254516052722416,3.0,13.0,50.460688639033904
25.629347840519213,5.0,,44.288605566459594
14.306029682164422,4.0,9.0,39.25115968993709
20.13606451415195,5.0,6.0,49.154799027236095
25.9321888264604,3.0,8.0,41.75705210352473
21.192745920617458,2.0,6.0,41.327232792032305
21.22547207419806,5.0,5.0,43.1212904033056
21.615469472416816,3.0,10.0,47.31370546107672
20.8304813920253,3.0,11.0,42.47873472539543
21.014947475820396,2.0,5.0,31.512875179820877
22.618953750563723,3.0,19.0,58.138286763432795
22.074589905284864,5.0,17.0,64.64335233226102
17.51941989072624,2.0,7.0,35.92984451131094
28.302125290887584,3.0,13.0,54.508036831769125
22.289798937655608,2.0,11.0,42.084018717143515
24.2940211592853,1.0,7.0,36.20247365243463
16.836937267331674,1.0,20.0,51.92398771327859
12.677587661690307,1.0,8.0,24.457395435737745
20.713490798870335,3.0,19.0,60.27248506417886
24.96295491527061,5.0,10.0,55.37946714526296
13.441208561618604,1.0,14.0,36.35977163973863
17.40340609067194,2.0,9.0,37.29589195394822
19.27666148117546,2.0,7.0,38.031212696532165
27.544082689905323,2.0,7.0,37.745837215479526
32.76861283874062,2.0,14.0,56.44631962022911
19.601451658740807,3.0,20.0,57.068351178306735
26.761317875671068,1.0,13.0,50.9573911899743
23.950533828299037,5.0,11.0,52.823101176560506
17.355850993942127,4.0,7.0,41.664079658383166
26.947448516468544,1.0,15.0,49.99448462519715
25.208185373868226,4.0,13.0,55.81184798062481
22.881094041793666,5.0,17.0,64.981206940336
20.75562599439269,5.0,8.0,42.156412597133965
21.56021770857134,,8.0,50.11027963361688
28.963087195700542,2.0,16.0,60.25433654962552
27.360795636397416,1.0,14.0,51.3669850297472
31.143973932966656,,17.0,56.81736041573824
23.742677142952097,4.0,12.0,54.612580855900944
29.70056106911234,1.0,11.0,47.97435737977099
17.226110094943447,3.0,6.0,32.45934188774649
27.138278899047386,3.0,20.0,69.6276104565721
32.847267292900085,4.0,19.0,72.95509140032078
23.919458407138926,5.0,14.0,67.27427522484149
21.471785856918565,4.0,12.0,52.67409905887703
25.559309890025872,2.0,,61.863055779722814
23.271570158642998,4.0,8.0,46.756081199634146
18.843879741994844,4.0,9.0,42.01945447142126
15.718778595021941,2.0,15.0,47.12132415386039
29.644480864412387,1.0,6.0,
15.268509292748213,5.0,8.0,41.4977344431244
21.86438629447179,4.0,5.0,37.24395450782023
24.299555901088638,1.0,9.0,38.243179735437806
19.148943807944356,2.0,15.0,53.37190412298828
21.459655450834568,2.0,17.0,52.49519335116004
17.37006472930485,3.0,15.0,49.19939209917685
24.019463007921118,,13.0,54.62346618784368
21.871257198519675,2.0,12.0,43.469401158722086
26.84002861373979,5.0,8.0,52.26548186004378
17.90060132565567,3.0,,40.8253406497469
23.251019693382645,2.0,14.0,51.41352684039771
18.908272553158863,3.0,10.0,43.87083070084286
23.88428613870785,4.0,17.0,64.84415401363138
30.551152094139642,4.0,5.0,48.1035284450886
18.11486934807472,4.0,14.0,
19.225001005815738,3.0,9.0,35.60895367995398
25.290300272884547,1.0,18.0,56.70652519456509
16.518707098052246,1.0,18.0,40.88409683545754
14.132560840520224,5.0,16.0,52.71676900637112
24.097256533247524,5.0,14.0,61.72181145360472
21.986747552903363,5.0,11.0,55.57712935376035
27.253561934450346,5.0,5.0,45.251146908346925
21.21683785423503,2.0,17.0,54.387905571953134
22.277475861794013,5.0,18.0,65.13296522784488
17.636434614154282,2.0,20.0,49.7002308875571
21.99540753402981,4.0,,61.57254295867859
,1.0,5.0,28.918698268753158
22.96720242900837,4.0,7.0,41.683540062830915
,3.0,18.0,59.13090706060284
22.462563983582502,4.0,16.0,60.02163489813073
17.036031634687937,2.0,18.0,54.239920317716084
21.89321265395156,4.0,,53.06928062170358
12.589991210262435,2.0,13.0,38.73218289448252
23.787407925333742,5.0,10.0,53.1958563688656
22.524384303399266,1.0,8.0,36.18114982394417
18.4867533555155,4.0,14.0,52.55480842166571
28.977367462549182,3.0,11.0,54.12560963825908
18.989868461265104,1.0,7.0,27.671573104448346
27.525132339396688,4.0,10.0,
16.210784327663802,5.0,9.0,43.12658441148895
27.95817141378152,3.0,6.0,45.42467299137537
15.254933772361523,3.0,16.0,45.5030633480995
-1.278053015292592,2.0,15.0,34.5697887798819
11.832053099810647,3.0,13.0,
,5.0,19.0,63.75116571497674
20.449884842185796,4.0,12.0,49.92053888837985
18.468745343021002,3.0,18.0,52.759772915466925
22.12346087987885,1.0,9.0,34.60504119338913
25.979710343805852,3.0,8.0,46.58712099040556
21.609056790025853,4.0,13.0,57.47946113867795
30.435244321582957,1.0,17.0,53.428387619851996
20.81859068520248,5.0,10.0,45.56825636256788
26.085019833426784,2.0,10.0,
19.604685166841097,,18.0,57.13839631683182
21.5520186002302,2.0,12.0,43.38318409012706
20.126064048231914,1.0,14.0,43.59840254931285
27.178311157193185,4.0,10.0,55.559589326274285
19.801012737965017,3.0,8.0,42.601526678785476
17.08430408339764,3.0,19.0,
11.646835959464632,4.0,12.0,43.00090865058487
